X,Y,Z
4.40440524659,-6.94180619637,0.176971083269
5.86810253978,3.79790237658,0.177136964286
-1.79602848788,-6.0969960032,15.5056914218
-0.332331195152,4.64271257013,15.5058573032
-4.16460655281,-0.304352868898,0.177160065777
-7.50874965114,-1.67194184033,10.3962675275
11.5808237033,-0.627151785811,5.2865608582
8.23668060514,-1.99474075746,15.5056683202
-2.28402084952,-9.6767283036,5.28653636342
7.26083577776,-9.1544611952,10.3960078512
-3.1887617261,6.85536756913,5.28682053478
6.35609490202,7.37763467718,10.3962920221

I,J,CorT,Axial Force
4,9,0,-12476.7742431
0,11,0,-12476.7742431
1,5,0,-12476.7742397
2,6,0,-12476.7742406
3,8,0,-12476.7742441
7,10,0,-12476.7742444
0,4,1,5236.2077554
0,1,1,5236.20775505
1,4,1,5236.2077554
4,8,1,5236.20775637
0,6,1,5236.20775214
1,10,1,5236.20775562
0,9,1,5236.20775029
4,5,1,5236.20774766
1,11,1,5236.20775029
8,9,1,5236.20775303
5,8,1,5236.207751
6,9,1,5236.207751
5,10,1,5236.207751
6,11,1,5236.207751
10,11,1,5236.20775303
2,8,1,5236.20775163
6,7,1,5236.207749
3,10,1,5236.20775163
2,9,1,5236.20775645
3,5,1,5236.20775297
7,11,1,5236.2077572
2,7,1,5236.2077554
2,3,1,5236.20775505
3,7,1,5236.2077554
